"ID";"P02";"P04";"P05";"P06";"P07";"P08";"P09";"P10";"P11";"P12";"P13";"P14";"P15";"P16";"P17";"P18";"P19";"P20";"P21";"P22";"P23";"P24";"P25";"P26";"P27";"P28";"P29";"P30";"P31";"P32";"P33";"P34";"P35";"P36";"P37";"P38";"P39";"P40";"P41";"P42";"P43";"P44";"P45";"P46";"P47";"P48";"P49";"V02";"V04";"V05";"V06";"V07";"V08";"V09";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"VD_REGIAO";"VD_EDUCACAO";"VD_IDADE";"VD_RACA";"VD_ACOMPANHA_SENADO";"VD_TRABALHO";"VD_PORTE";"VD_VOTO.TURNO1";"VD_VOTO.TURNO2";"POP_REGIAO_SEXO";"POP_REGIAO_IDADE";"POP_REGIAO_RACA";"POP_REGIAO_EDU";"POP_REGIAO_PORTE";"POP_REGIAO_VOTO.TURNO1";"POP_REGIAO_VOTO.TURNO2";"W1";"W2"
"1";28;6;1;1;2;1;3;97;2;2;2;2;1;1;1;1;3;2;;3;1;97;2;2;2;2;1;1;2;;;;;;;;;1;1;1;1;1;1;1;1;1;4;1;3;4;1;1;;5;3;1;2;2;;2;;2;3;4;2;4;1;3;3;3;21140652,1606768;6202819,74451299;33265012,4017524;6782281,42177651;10816838,1655851;13804878,7427588;11847497,7427588;0,289622257726311;8323,77894239386
"2";52;4;2;2;1;97;2;97;2;1;1;1;2;2;2;1;1;1;2;3;3;1;1;1;2;1;2;;;;;;;;;;;2;;;;;;;;;2;1;2;3;1;1;;1;1;1;1;1;1;1;1;5;2;3;2;2;1;1;1;1;6308440,96389232;2435637,36092034;8295394,16804358;3872447,6527475;3993568,58119647;4727672;5331708;0,850986139664242;57852,6861630567
"3";35;2;1;1;1;2;5;1;1;97;1;2;1;1;1;1;2;2;;1;1;5;2;2;2;1;1;1;2;;;;;;;;;1;2;2;2;2;1;1;1;1;4;1;4;2;1;1;;4;1;2;2;2;;2;;3;1;1;2;4;1;2;3;3;34583982,1353621;18471680,4671614;35613911,6497741;29216484,3462274;28518806,3404994;27776402,6627414;22446263,6627414;1,1575493817962;130147,300267096
"4";29;1;1;1;1;2;7;1;1;2;1;2;1;2;1;1;2;2;;3;97;4;2;2;2;1;1;1;2;;;;;;;;;2;;;;;;;;;1;2;1;2;1;2;2;2;1;1;2;1;2;1;2;2;1;1;1;4;3;2;2;2;23204759,582082;12798371,8641061;11080399,3410063;24249559,3107258;14173695,4240263;21753139;22534967;0,53113146285101;211209,066647503
"5";41;4;2;1;2;2;3;2;2;2;1;1;1;2;2;1;2;1;3;2;2;3;2;2;2;2;1;1;2;;;;;;;;;1;2;1;2;2;2;2;1;1;2;1;3;4;1;1;;2;2;2;1;1;1;1;1;4;3;2;2;3;1;2;1;1;11900083,831777;4972531,99320719;6448500,58726374;5864296,77968615;10776775,1826395;9568041;10940158;0,885430859201816;46328,2768341016
"6";35;2;1;1;2;1;3;1;1;2;1;2;1;1;1;1;2;2;;3;3;3;1;1;1;2;1;1;2;;;;;;;;;1;2;2;2;2;1;1;1;1;2;1;3;4;1;1;;2;3;2;1;1;1;2;;3;3;2;2;4;1;2;1;3;34583982,1353621;14391721,5930094;35613911,6497741;18702138,7176993;28518806,3404994;23470529;22446263,6627414;1,1575493817962;37721,0479675986
"7";26;5;1;1;1;2;3;2;1;1;1;1;1;2;2;1;3;2;;3;2;1;2;1;1;2;1;1;2;;;;;;;;;1;1;1;1;1;1;2;1;2;2;1;3;2;1;2;2;1;1;1;1;1;1;1;1;2;1;3;2;4;3;3;1;1;21140652,1606768;8084696,47301555;33265012,4017524;24249559,3107258;10816838,1655851;8787394;9962947;5,1611723812616;305039,932982966
"8";43;6;1;1;1;2;3;1;2;97;2;2;1;1;1;1;2;2;;2;3;2;2;1;2;2;1;1;2;;;;;;;;;1;97;97;97;2;1;1;1;1;4;2;1;4;1;1;;2;3;2;2;1;99;2;;4;3;3;1;4;1;2;3;3;12325579,2015022;4262210,06607883;17777162,4460155;5864296,77968615;10776775,1826395;8208242,03327921;6535131,03327921;0,710930506044047;26863,3167242171
"9";51;4;1;1;1;1;3;1;2;1;2;1;1;2;2;1;2;2;;3;2;1;2;2;2;2;1;1;1;2;3;2;1;3;3;2;2;1;2;1;2;1;1;1;1;1;2;2;1;3;1;1;;1;1;2;2;1;1;1;1;5;2;4;1;4;1;2;1;1;6571044,69845248;1863978,38789247;4584091,49430122;3872447,6527475;3650500,27250181;4727672;5331708;0,532074345004093;44914,3456130022
"10";42;5;1;1;1;1;7;1;2;2;2;1;1;1;2;97;1;2;;97;1;3;2;1;2;1;1;1;2;;;;;;;;;2;;;;;;;;;2;2;2;2;2;2;2;2;1;2;1;1;1;1;1;4;1;5;2;4;3;1;1;1;12325579,2015022;5040299,80536735;6448500,58726374;11421778,5725272;8921246,50044287;9568041;10940158;0,47526920288499;75496,4666664578
"11";33;7;2;1;1;2;2;2;1;2;2;1;1;2;1;1;1;1;2;1;1;1;2;1;1;1;1;1;2;;;;;;;;;2;;;;;;;;;1;1;3;3;2;2;2;2;1;2;1;1;5;1;99;3;1;4;2;2;3;3;3;3;34583982,1353621;11005948,8963799;35613911,6497741;29216484,3462274;29162640,6835377;27776402,6627414;22446263,6627414;0,664796625027034;36619,0756905456
"12";32;5;1;1;1;1;3;2;1;1;1;2;1;1;2;3;2;2;;2;2;3;2;2;2;1;1;1;2;;;;;;;;;1;2;1;1;1;1;2;1;1;4;2;3;2;1;2;2;2;1;2;1;99;;99;;3;1;2;2;4;3;2;3;3;37700043,5273793;14391721,5930094;35613911,6497741;29216484,3462274;28518806,3404994;27776402,6627414;22446263,6627414;1,14543248539103;73456,94105637
"13";33;4;1;1;1;1;3;2;2;1;1;1;2;2;2;2;97;1;1;3;3;1;2;2;1;2;1;1;2;;;;;;;;;1;1;1;2;2;1;1;1;1;2;2;3;4;1;1;;1;1;2;2;1;1;1;1;3;3;3;2;1;1;3;1;1;37700043,5273793;13151339,3001183;35613911,6497741;18702138,7176993;29162640,6835377;23470529;27043936;0,664796625027034;25861,9489611134
"14";23;3;1;1;1;1;3;1;2;2;2;2;1;1;1;1;3;2;;2;2;1;2;2;1;2;1;1;2;;;;;;;;;1;1;1;2;1;2;1;2;1;4;2;3;4;1;1;;1;1;2;1;2;;2;;2;3;1;2;4;1;3;3;3;23204759,582082;12798371,8641061;33265012,4017524;6782281,42177651;10816838,1655851;13804878,7427588;11847497,7427588;0,524929967547189;41409,939432724
"15";27;6;1;1;2;1;6;1;1;2;2;2;1;1;1;1;2;1;3;2;3;3;1;2;1;2;1;1;1;1;2;2;3;3;2;3;2;1;2;1;2;2;1;1;1;1;1;1;1;4;2;2;2;4;1;1;2;1;2;1;2;2;3;1;1;3;3;3;2;2;21140652,1606768;12798371,8641061;11080399,3410063;6782281,42177651;10816838,1655851;21753139;22534967;0,081006810558095;5947,05106327296
"16";27;2;1;1;1;1;1;1;2;2;2;1;2;1;2;1;2;2;;2;2;4;2;2;1;1;1;1;2;;;;;;;;;1;1;1;2;1;2;2;1;1;3;2;1;3;1;2;2;2;1;2;2;1;1;1;1;2;2;1;1;4;3;2;1;1;23204759,582082;12798371,8641061;11080399,3410063;13313571,0102565;14173695,4240263;8787394;9962947;0,081006810558095;16106,2497236084
"17";43;4;97;2;1;1;4;2;2;2;1;1;97;2;2;2;2;1;2;3;2;1;2;2;2;2;1;1;2;;;;;;;;;1;2;2;2;1;2;2;2;1;2;1;1;3;1;1;;1;2;2;2;1;99;1;99;4;2;4;1;2;1;1;3;1;11900083,831777;3643103,95375007;17777162,4460155;6939587,68106587;8921246,50044287;8208242,03327921;10940158;0,710930506044047;47602,6141523491
"18";26;6;1;1;1;2;3;1;2;2;1;1;2;2;2;1;2;1;2;2;2;1;2;2;1;1;1;1;1;2;2;2;3;3;3;2;1;1;1;2;1;2;1;1;1;1;2;2;1;3;1;2;1;1;1;1;2;1;1;1;1;2;2;2;1;2;2;2;1;1;23204759,582082;9055325,84168844;11080399,3410063;13313571,0102565;14173695,4240263;8787394;9962947;0,51611723812616;32705,3597766702
"19";35;6;2;2;2;2;1;1;2;1;2;2;1;2;2;2;3;2;;3;2;6;2;2;2;2;1;1;2;;;;;;;;;1;1;2;2;1;1;1;2;97;1;2;3;3;1;1;;2;1;1;1;1;99;1;99;3;2;2;2;4;1;3;3;3;37700043,5273793;14391721,5930094;35613911,6497741;24365402,5988148;29162640,6835377;27776402,6627414;22446263,6627414;1,1575493817962;87426,6609481752
"20";21;1;1;1;2;1;1;2;1;2;1;1;1;1;2;1;1;2;;3;3;1;1;1;1;2;1;1;1;2;1;1;1;2;3;1;1;1;2;1;2;1;1;1;1;1;4;2;3;3;1;2;1;1;1;2;1;1;2;1;1;2;2;2;2;4;2;2;2;1;23204759,582082;9055325,84168844;33265012,4017524;13313571,0102565;14173695,4240263;21753139;9962947;0,33354437975113;91047,7466891651
"21";29;5;1;1;2;1;5;1;1;2;2;2;2;1;1;1;2;1;2;2;2;5;1;1;2;1;1;1;1;2;3;1;2;3;2;2;2;1;2;2;2;2;1;1;1;1;1;2;3;4;2;1;;1;3;1;2;1;2;1;2;2;3;1;2;2;1;2;2;2;23204759,582082;12798371,8641061;33265012,4017524;6782281,42177651;14173695,4240263;21753139;22534967;0,53113146285101;66933,4599024898
"22";52;1;1;1;1;1;8;1;2;2;1;1;2;2;2;1;2;2;;3;2;1;2;2;2;2;1;1;2;;;;;;;;;1;2;2;2;1;1;1;2;1;2;2;1;3;2;2;1;2;1;2;1;1;1;1;1;5;1;2;1;4;2;3;1;1;6571044,69845248;2774096,33588219;4584091,49430122;5639588,67715864;5235416,80864652;4727672;5331708;0,850986139664242;99413,652766922
"23";15;1;1;1;1;2;2;1;1;1;1;1;2;2;2;1;2;2;;3;3;1;2;2;2;1;1;1;1;3;3;2;3;3;3;2;2;1;1;1;2;1;2;2;2;1;2;1;1;3;1;1;;1;1;2;2;1;1;1;1;1;2;2;1;4;1;1;1;1;6811680,65343159;2884455,25448695;2676408,93072725;4240290,10826669;4533423,13227735;4396161;4782341;0,394020511483105;70356,9726848104
"24";22;2;1;1;1;1;3;2;2;1;2;2;2;1;1;1;2;1;1;1;2;3;2;2;2;1;1;1;2;;;;;;;;;2;;;;;;;;;4;1;1;2;1;1;;2;1;2;2;2;;2;;2;1;2;1;1;1;3;3;3;21140652,1606768;9055325,84168844;11080399,3410063;24249559,3107258;10816838,1655851;13804878,7427588;11847497,7427588;0,738425238851739;66176,936037477
"25";50;2;2;1;1;1;4;1;1;1;1;1;2;1;1;1;2;2;;2;3;1;1;2;1;1;1;1;1;1;1;2;1;2;2;1;1;1;2;2;2;2;1;1;1;1;3;2;3;3;1;1;;2;2;2;2;1;3;1;2;5;2;2;2;4;1;3;3;2;6571044,69845248;2774096,33588219;8295394,16804358;3872447,6527475;5235416,80864652;4825485,6623448;3523743;0,234958311802122;18576,6682947548
"26";35;3;1;1;2;1;6;1;1;2;2;2;1;1;1;1;1;2;;2;2;5;2;2;1;2;1;1;1;2;2;2;2;2;3;3;3;1;1;2;1;1;1;2;1;1;1;2;3;4;1;1;;1;3;2;2;1;2;1;2;3;3;1;2;4;1;2;2;2;37700043,5273793;18471680,4671614;35613911,6497741;18702138,7176993;28518806,3404994;21037094;22793826;1,1575493817962;87442,6984252994
"27";35;7;1;1;1;1;7;1;1;1;1;1;1;2;2;1;2;2;;2;97;3;2;2;2;1;1;1;2;;;;;;;;;1;2;97;2;1;1;1;1;1;2;1;1;3;2;1;;1;2;1;2;1;1;1;1;3;1;5;1;4;1;1;1;1;34583982,1353621;15263335,4060724;36670114,0129673;29216484,3462274;14602578,6387043;23470529;27043936;1,1575493817962;81480,4686074251
"28";42;2;1;2;1;1;5;2;97;2;2;97;1;2;1;1;3;1;1;2;2;1;2;2;1;2;1;1;2;;;;;;;;;2;;;;;;;;;1;2;3;2;2;2;2;2;1;1;2;2;;2;;4;1;5;2;1;3;2;3;3;12325579,2015022;5040299,80536735;6448500,58726374;11421778,5725272;10776775,1826395;8208242,03327921;6535131,03327921;1,74241156914191;103266,439586322
"29";35;6;1;1;1;1;4;1;1;2;2;2;1;1;1;1;1;2;;3;2;1;1;2;2;2;1;1;2;;;;;;;;;1;1;1;1;2;1;1;2;2;1;2;1;3;1;2;2;1;1;2;2;2;;2;;3;2;1;1;4;3;3;3;3;37700043,5273793;18471680,4671614;36670114,0129673;24365402,5988148;29162640,6835377;27776402,6627414;22446263,6627414;1,1575493817962;224353,446465025
"30";35;3;1;1;1;1;6;1;2;1;1;1;2;2;2;2;3;1;2;2;2;5;2;2;2;1;1;1;1;2;2;1;3;3;3;1;1;1;1;1;2;1;1;1;1;1;2;1;1;4;1;1;;1;2;1;2;1;1;1;1;3;3;1;1;2;1;2;1;1;34583982,1353621;18471680,4671614;36670114,0129673;18702138,7176993;28518806,3404994;23470529;27043936;4,6301975271848;455613,511000736
"31";52;1;1;1;1;1;7;2;1;1;2;1;1;1;1;1;2;2;;2;2;2;2;2;1;1;1;1;2;;;;;;;;;1;2;1;2;1;2;1;1;1;4;2;5;2;2;1;;1;1;2;1;1;2;1;2;5;1;3;2;4;1;2;2;2;6571044,69845248;2435637,36092034;8295394,16804358;5639588,67715864;3650500,27250181;3326328;3523743;0,850986139664242;43374,0498912528
"32";33;1;1;1;1;1;6;1;1;1;2;2;1;1;1;1;3;2;;2;3;5;1;1;1;1;1;1;1;1;1;1;1;2;3;1;1;1;1;2;2;1;1;1;1;1;1;2;2;4;1;2;1;5;1;2;1;1;2;1;2;3;3;3;2;4;2;3;2;2;37700043,5273793;13151339,3001183;35613911,6497741;18702138,7176993;29162640,6835377;21037094;22793826;1,32959325005407;54117,8974056959
"33";31;4;1;1;1;1;3;2;2;1;1;1;2;2;2;1;1;1;3;2;2;1;2;2;1;1;1;1;2;;;;;;;;;1;2;1;2;1;97;1;1;1;2;1;1;3;1;1;;1;1;2;2;1;1;1;1;3;2;2;1;3;1;2;1;1;34583982,1353621;14391721,5930094;36670114,0129673;24365402,5988148;28518806,3404994;23470529;27043936;2,30249766511009;209307,650159555
"34";31;1;1;2;1;1;6;1;2;1;2;2;1;1;1;1;2;2;;1;1;1;1;2;1;1;1;1;2;;;;;;;;;1;1;2;2;2;1;2;1;1;4;2;1;4;1;1;;1;3;2;2;1;2;1;2;3;3;3;1;4;1;1;2;2;37700043,5273793;13151339,3001183;36670114,0129673;18702138,7176993;14602578,6387043;21037094;22793826;0,767499221703364;30942,8564596991
"35";52;4;2;1;1;1;4;1;2;2;1;2;2;1;2;1;3;1;1;3;3;5;1;1;1;2;1;1;1;1;2;1;2;3;3;1;1;1;1;1;1;1;1;1;1;1;4;1;1;4;1;1;;5;3;1;2;2;;1;1;5;3;2;1;1;1;3;3;1;6308440,96389232;2774096,33588219;4584091,49430122;3367449,33243866;5235416,80864652;4825485,6623448;5331708;0,850986139664242;69779,7905345743
"36";33;1;2;1;1;1;3;2;1;1;1;2;1;2;1;3;2;1;2;2;2;6;2;2;2;1;1;1;2;;;;;;;;;1;1;1;1;1;1;1;1;1;3;1;3;4;1;2;2;3;1;2;2;1;7;1;4;3;3;5;2;2;3;3;3;3;34583982,1353621;15263335,4060724;35613911,6497741;18702138,7176993;29162640,6835377;27776402,6627414;22446263,6627414;1,32959325005407;49672,1227216398
"37";35;1;2;1;2;1;3;1;2;2;2;97;1;1;1;1;1;2;;2;2;2;2;2;2;1;1;1;2;;;;;;;;;2;;;;;;;;;4;1;3;3;1;1;;3;2;1;2;1;99;1;99;3;2;3;2;4;1;2;3;3;34583982,1353621;13151339,3001183;35613911,6497741;24365402,5988148;28518806,3404994;27776402,6627414;22446263,6627414;2,3150987635924;109289,988627215
"38";35;2;1;1;1;2;1;1;2;2;2;2;1;1;1;1;1;2;;2;2;1;2;2;2;2;1;1;2;;;;;;;;;1;1;1;1;1;1;1;2;1;2;1;1;3;1;1;;5;3;1;2;1;1;1;1;3;2;1;1;4;1;3;1;1;34583982,1353621;18471680,4671614;36670114,0129673;24365402,5988148;29162640,6835377;23470529;27043936;1,1575493817962;235037,191161251
"39";23;4;1;1;2;2;8;1;2;1;2;2;1;1;2;3;2;1;3;2;3;3;2;2;1;2;1;1;2;;;;;;;;;1;1;2;1;1;2;1;1;1;4;2;1;3;2;2;2;4;1;1;1;1;1;1;1;2;1;2;1;3;3;2;1;1;23204759,582082;9055325,84168844;11080399,3410063;24249559,3107258;14173695,4240263;8787394;9962947;0,524929967547189;50178,2760062251
"40";24;4;1;2;1;2;5;2;2;1;1;1;2;2;2;1;2;2;;3;2;5;1;2;2;2;1;1;1;1;2;2;3;3;3;2;1;1;1;1;1;1;1;1;1;1;2;1;3;3;2;2;2;2;1;2;1;1;1;1;1;2;1;1;2;4;3;1;1;1;21140652,1606768;12798371,8641061;33265012,4017524;24249559,3107258;19354878,1531474;8787394;9962947;0,421789337791895;236368,926150684
"41";35;6;1;1;2;1;3;1;1;2;2;2;1;1;1;1;1;1;2;2;2;5;2;1;1;1;1;1;1;1;1;2;1;2;2;3;2;1;1;1;1;1;1;1;2;1;1;2;3;4;1;1;;1;2;2;1;1;2;1;2;3;3;2;2;2;1;2;2;2;37700043,5273793;14391721,5930094;35613911,6497741;18702138,7176993;28518806,3404994;21037094;22793826;1,1575493817962;48127,6147715072
"42";21;1;2;1;1;1;4;2;1;1;1;2;1;2;2;1;2;2;;2;2;4;2;1;2;2;1;1;1;1;2;2;2;3;3;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;1;;1;3;2;2;1;1;1;1;2;1;5;1;4;1;2;1;1;21140652,1606768;8204197,81943566;11080399,3410063;24249559,3107258;14173695,4240263;8787394;9962947;0,33354437975113;65873,6433304941
"43";31;1;1;2;97;1;1;2;1;2;2;1;2;2;1;1;1;1;2;2;1;2;2;2;1;1;1;1;2;;;;;;;;;2;;;;;;;;;4;2;3;1;;2;1;2;99;2;2;1;2;1;2;3;1;4;2;2;2;3;2;2;37700043,5273793;11005948,8963799;35613911,6497741;29216484,3462274;29162640,6835377;21037094;22793826;2,30249766511009;149301,826967433
"44";33;4;1;1;2;1;3;1;2;2;2;2;97;1;2;1;2;2;;1;3;3;2;2;2;2;1;1;1;3;3;2;2;3;3;3;3;1;1;2;2;1;2;1;1;1;3;2;3;4;2;1;;1;1;2;2;1;7;1;1;3;3;1;2;4;1;3;3;1;37700043,5273793;18471680,4671614;35613911,6497741;18702138,7176993;29162640,6835377;27776402,6627414;27043936;0,664796625027034;63954,0927321226
"45";15;3;1;1;1;2;3;1;2;2;2;2;2;2;1;1;1;1;2;2;3;3;2;2;2;2;1;1;2;;;;;;;;;1;2;2;2;1;1;1;1;1;4;1;3;3;1;1;;2;1;1;2;1;99;1;99;1;2;1;2;2;1;1;3;2;6811680,65343159;4616955,63586713;11092360,6389436;4240290,10826669;4533423,13227735;4817978,56967089;4590184;0,394020511483105;103599,197064318
"46";35;2;97;1;1;1;6;1;1;1;2;2;1;1;1;1;2;1;3;3;3;1;2;2;2;1;1;1;2;;;;;;;;;1;2;2;2;2;2;1;2;1;1;2;2;4;1;1;;5;3;1;2;1;3;1;2;3;3;2;2;3;1;3;3;2;37700043,5273793;14391721,5930094;35613911,6497741;18702138,7176993;29162640,6835377;27776402,6627414;22793826;1,42933947698998;32085,9133444209
"47";25;4;1;1;1;2;7;2;2;2;1;2;2;97;2;1;2;1;2;2;2;3;2;2;1;1;1;1;1;1;2;2;1;2;2;1;1;1;1;1;1;1;1;1;1;1;2;2;1;4;1;2;2;1;3;2;2;1;1;1;1;2;3;5;1;2;3;3;1;1;23204759,582082;8204197,81943566;11080399,3410063;6782281,42177651;10816838,1655851;8787394;9962947;0,521772660302884;14909,0200538215
"48";31;4;2;1;1;1;5;1;2;1;1;1;1;2;1;1;3;1;3;3;3;2;2;2;2;1;1;1;2;;;;;;;;;1;1;1;1;1;1;1;1;1;2;1;1;4;1;1;;1;3;1;2;1;1;1;1;3;3;3;1;3;1;2;1;1;34583982,1353621;13151339,3001183;36670114,0129673;18702138,7176993;28518806,3404994;23470529;27043936;0,767499221703364;33100,2416451994
"49";17;3;1;1;1;2;4;1;2;1;2;2;1;1;1;1;1;1;2;3;3;4;2;2;2;1;1;1;2;;;;;;;;;2;;;;;;;;;3;1;1;4;1;1;;1;3;2;2;1;5;1;3;1;3;4;1;2;1;1;3;3;6811680,65343159;1788232,35083185;2676408,93072725;2583414,27516294;4533423,13227735;4817978,56967089;4396244,56967089;0,160738901458879;40257,8710524688
"50";35;1;2;1;1;1;2;1;1;1;2;1;1;2;1;1;2;1;1;1;1;3;2;2;2;1;2;;;;;;;;;;;1;2;1;1;1;1;1;;;4;2;3;2;2;2;1;1;2;1;2;1;2;1;2;3;1;5;2;1;2;1;2;2;37700043,5273793;15263335,4060724;35613911,6497741;29216484,3462274;14602578,6387043;21037094;22793826;2,3150987635924;125103,788574517
"51";12;5;1;1;1;2;1;2;2;1;2;2;1;1;2;2;3;2;;3;3;3;2;2;1;1;1;1;2;;;;;;;;;1;1;1;1;1;1;1;1;1;4;2;3;3;2;1;;2;1;2;2;1;99;1;99;1;1;1;2;4;1;2;3;3;6957088,9162393;4616955,63586713;11092360,6389436;6945065,18624126;5530020,98320975;4817978,56967089;4396244,56967089;0,228793059638762;186588,126590396
"52";35;4;2;1;1;1;7;97;2;1;2;97;1;1;2;1;3;1;1;3;3;7;2;2;1;2;2;;;;;;;;;;;97;;;;;;;;;4;2;1;3;1;2;2;3;1;2;2;2;;2;;3;2;5;1;1;3;2;3;3;37700043,5273793;15263335,4060724;36670114,0129673;24365402,5988148;28518806,3404994;27776402,6627414;22446263,6627414;1,1575493817962;86422,3561027382
"53";35;5;97;1;1;1;7;1;1;2;2;2;1;1;1;1;1;2;;2;2;4;2;2;2;2;1;1;2;;;;;;;;;1;1;1;2;1;1;1;2;2;97;2;3;3;1;1;;5;3;1;2;1;4;1;2;3;2;3;2;4;1;2;3;2;37700043,5273793;13151339,3001183;35613911,6497741;24365402,5988148;28518806,3404994;27776402,6627414;22793826;1,1575493817962;28251,4015950215
"54";28;4;1;1;1;1;6;2;2;1;1;2;2;2;2;1;3;2;;2;3;3;2;1;2;2;1;1;2;;;;;;;;;1;1;1;2;1;1;1;1;1;2;2;3;2;2;2;2;2;1;2;2;1;1;1;1;2;1;2;2;4;3;1;1;1;23204759,582082;9055325,84168844;33265012,4017524;24249559,3107258;19354878,1531474;8787394;9962947;0,289622257726311;45792,5100530082
"55";43;4;2;1;1;2;3;2;2;1;1;1;1;2;2;1;3;2;;3;3;1;2;2;1;2;1;1;2;;;;;;;;;1;1;1;1;1;1;1;2;1;2;1;1;3;2;1;;2;2;2;2;1;1;1;1;4;1;2;1;4;1;2;1;1;11900083,831777;4972531,99320719;17777162,4460155;11421778,5725272;10776775,1826395;9568041;10940158;0,710930506044047;62592,1263833092
"56";35;2;1;1;1;1;3;1;1;2;2;2;2;1;1;1;2;2;;2;2;1;2;2;2;2;1;1;2;;;;;;;;;2;;;;;;;;;4;1;1;3;1;1;;2;1;2;2;2;;1;2;3;2;3;1;4;1;2;3;2;34583982,1353621;13151339,3001183;36670114,0129673;24365402,5988148;28518806,3404994;27776402,6627414;22793826;0,714669738494989;23772,156749629
"57";35;4;1;1;1;1;7;2;2;2;2;2;1;1;1;1;1;2;;97;97;3;2;2;2;2;1;2;;;;;;;;;;2;;;;;;;;;97;1;1;2;1;2;2;5;1;1;2;1;2;1;2;3;1;4;1;4;3;2;2;2;34583982,1353621;11005948,8963799;36670114,0129673;29216484,3462274;28518806,3404994;21037094;22793826;1,1575493817962;83212,0511357467
"58";32;5;1;1;1;2;4;2;1;1;2;1;1;1;1;1;2;1;2;2;2;3;1;1;1;2;1;1;2;;;;;;;;;1;1;1;1;1;1;1;1;1;1;2;3;4;1;1;;1;3;2;2;1;2;1;2;3;3;1;2;2;1;3;2;2;37700043,5273793;18471680,4671614;35613911,6497741;18702138,7176993;29162640,6835377;21037094;22793826;0,572716242695516;53186,99681122
"59";31;6;2;2;1;2;4;2;2;2;1;1;97;2;2;1;2;1;3;3;3;5;2;2;2;2;1;1;1;1;3;1;3;3;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;4;1;1;;1;3;1;2;1;5;1;1;3;3;2;1;3;1;2;3;1;34583982,1353621;14391721,5930094;36670114,0129673;18702138,7176993;28518806,3404994;27776402,6627414;27043936;0,767499221703364;45051,4780093566
"60";15;1;97;1;2;1;3;1;2;2;2;2;1;1;1;1;2;1;1;2;2;2;2;2;2;97;1;1;1;3;3;97;97;3;97;1;1;1;97;2;2;97;97;2;2;2;4;2;3;4;1;1;;1;2;1;2;1;99;1;99;1;3;3;2;1;1;3;3;2;6957088,9162393;2524910,54003622;11092360,6389436;2583414,27516294;3705325,45418379;4817978,56967089;4590184;0,78804102296621;21320,0464049197
"61";29;4;1;2;1;2;4;2;2;2;1;2;2;2;2;1;3;97;;2;2;1;2;2;1;2;1;1;1;1;1;1;2;3;2;2;2;1;1;1;2;1;1;1;1;1;2;2;1;4;1;1;;1;3;1;2;1;1;1;1;2;3;4;1;97;1;2;1;1;23204759,582082;6202819,74451299;11080399,3410063;6782281,42177651;14173695,4240263;8787394;9962947;0,53113146285101;15573,8569767725
"62";41;4;2;1;1;1;3;2;2;1;1;1;1;2;2;2;2;1;3;3;3;3;2;2;2;1;1;1;2;;;;;;;;;1;1;1;2;1;2;2;1;1;4;1;3;3;1;1;;2;1;2;2;2;;2;;4;2;4;2;3;1;2;3;3;11900083,831777;3643103,95375007;6448500,58726374;6939587,68106587;10776775,1826395;8208242,03327921;6535131,03327921;2,65629257760545;76719,6716832865
"63";26;1;1;1;2;1;3;1;1;2;2;2;1;1;1;1;1;1;3;1;1;1;2;2;1;2;1;1;1;1;3;1;1;3;2;3;1;1;2;2;2;2;2;2;2;1;1;2;2;4;2;2;2;4;2;1;2;1;2;1;2;2;3;1;2;3;3;3;2;2;23204759,582082;12798371,8641061;33265012,4017524;6782281,42177651;10816838,1655851;21753139;22534967;0,51611723812616;35067,6976210131
"64";24;1;1;1;1;1;6;1;1;2;2;1;2;2;2;1;3;2;;3;2;3;2;1;1;1;1;1;1;2;2;2;2;2;3;2;3;1;2;2;2;1;1;1;1;1;4;2;3;3;1;2;2;4;1;2;2;1;2;1;2;2;2;5;2;4;3;1;2;2;23204759,582082;8204197,81943566;33265012,4017524;13313571,0102565;19354878,1531474;21753139;22534967;0,421789337791895;107206,689628049
"65";35;4;2;1;1;1;3;1;1;2;2;2;1;1;1;1;2;1;2;3;3;1;2;1;1;2;1;1;1;1;1;1;3;2;3;1;2;1;1;1;2;1;2;1;2;1;1;2;2;4;1;1;;2;3;2;2;1;2;1;2;3;3;4;2;2;1;3;2;2;37700043,5273793;11005948,8963799;35613911,6497741;18702138,7176993;29162640,6835377;21037094;22793826;1,42933947698998;52898,3770900228
"66";21;1;2;1;2;1;8;2;2;1;1;2;2;1;2;97;3;1;3;1;3;2;2;1;1;2;1;1;2;;;;;;;;;1;2;1;2;2;2;1;2;1;2;1;1;2;2;2;2;1;1;1;2;1;1;1;1;2;1;4;1;3;3;1;1;1;21140652,1606768;6202819,74451299;11080399,3410063;24249559,3107258;19354878,1531474;8787394;9962947;0,33354437975113;57662,7233429966
"67";35;5;2;1;1;2;3;2;2;1;1;1;1;2;2;1;3;1;3;3;3;2;2;2;2;2;1;1;1;1;1;1;2;3;3;1;1;1;1;1;1;1;2;1;1;2;2;1;1;4;1;1;;1;3;2;2;1;1;1;1;3;3;5;1;3;1;3;1;1;34583982,1353621;15263335,4060724;36670114,0129673;18702138,7176993;29162640,6835377;23470529;27043936;0,714669738494989;40941,1195742702
