"ID";"P02";"P04";"P05";"P06";"P07";"P08";"P09";"P10";"P11";"P12";"P13";"P14";"P15";"P16";"P17";"P18";"P19";"P20";"P21";"P22";"P23";"P24";"P25";"P26";"P27";"P28";"P29";"P30";"P31";"P32";"P33";"P34";"P35";"P36";"P37";"P38";"P39";"P40";"P41";"P42";"P43";"P44";"P45";"P46";"P47";"P48";"P49";"V02";"V04";"V05";"V06";"V07";"V08";"V09";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"VD_REGIAO";"VD_EDUCACAO";"VD_IDADE";"VD_RACA";"VD_ACOMPANHA_SENADO";"VD_TRABALHO";"VD_PORTE";"VD_VOTO.TURNO1";"VD_VOTO.TURNO2";"POP_REGIAO_SEXO";"POP_REGIAO_IDADE";"POP_REGIAO_RACA";"POP_REGIAO_EDU";"POP_REGIAO_PORTE";"POP_REGIAO_VOTO.TURNO1";"POP_REGIAO_VOTO.TURNO2";"W1";"W2"
"1752";35;4;1;2;1;1;3;2;2;1;1;1;1;2;2;1;2;2;;2;2;5;2;2;2;2;1;1;2;;;;;;;;;1;1;1;1;1;2;2;2;1;2;1;4;3;1;1;;2;1;1;2;1;5;1;1;3;2;2;2;4;1;2;3;1;34583982,1353621;14391721,5930094;35613911,6497741;24365402,5988148;28518806,3404994;27776402,6627414;27043936;1,1575493817962;80747,4892012019
"1753";29;1;1;2;1;2;3;2;2;2;1;2;2;2;2;1;2;1;3;2;2;1;2;2;2;1;1;1;1;2;3;2;2;2;1;1;2;1;1;1;1;1;1;1;1;1;2;1;3;3;1;1;;2;2;2;2;1;1;1;1;2;2;2;2;3;1;2;1;1;21140652,1606768;9055325,84168844;33265012,4017524;13313571,0102565;14173695,4240263;8787394;9962947;0,53113146285101;39747,6294201025
"1754";35;2;2;1;2;1;6;1;1;1;1;1;1;1;2;3;3;1;2;3;2;1;2;2;2;2;1;1;2;;;;;;;;;1;2;1;2;2;1;1;2;2;2;1;1;3;1;1;;1;2;2;2;1;1;1;1;3;2;2;1;2;1;1;1;1;34583982,1353621;14391721,5930094;36670114,0129673;24365402,5988148;14602578,6387043;23470529;27043936;1,1575493817962;90721,0525776045
"1755";35;3;1;1;2;1;1;1;1;2;2;2;1;1;1;1;2;1;3;1;2;5;2;2;1;2;1;1;2;;;;;;;;;1;2;1;1;1;1;1;1;1;3;1;1;4;2;2;2;5;99;2;2;1;3;1;2;3;3;1;1;3;3;2;3;2;34583982,1353621;18471680,4671614;36670114,0129673;18702138,7176993;28518806,3404994;27776402,6627414;22793826;1,42933947698998;64628,5474886456
"1756";23;6;1;1;1;1;7;2;1;1;2;1;1;1;2;1;3;2;;3;3;1;2;1;2;2;1;1;2;;;;;;;;;2;;;;;;;;;4;1;2;1;;1;;2;1;2;1;1;1;1;1;2;1;3;2;4;1;3;1;1;21140652,1606768;8084696,47301555;33265012,4017524;24249559,3107258;10816838,1655851;8787394;9962947;0,524929967547189;31024,8506139228
"1757";35;1;97;1;1;1;7;1;97;2;2;2;1;1;2;1;3;2;;3;3;2;2;2;2;1;1;1;2;;;;;;;;;1;2;2;2;2;2;2;2;1;2;2;1;4;2;2;1;1;2;2;2;1;1;1;1;3;3;4;1;4;2;3;1;1;37700043,5273793;11005948,8963799;36670114,0129673;18702138,7176993;29162640,6835377;23470529;27043936;1,1575493817962;57830,4349335672
"1758";35;7;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;2;2;1;1;2;1;2;1;1;1;2;2;2;2;3;3;3;2;1;2;2;2;1;2;2;1;1;3;2;1;3;1;1;;1;3;1;2;1;2;1;2;3;2;5;1;1;1;2;2;2;37700043,5273793;15263335,4060724;36670114,0129673;24365402,5988148;28518806,3404994;21037094;22793826;2,3150987635924;196338,979627779
"1759";13;6;97;1;2;1;3;1;2;2;2;2;1;2;2;2;3;97;;1;1;97;2;2;2;1;1;1;2;;;;;;;;;2;;;;;;;;;4;2;1;3;99;2;2;1;1;2;1;1;99;1;99;1;2;5;1;97;3;3;3;3;6957088,9162393;1954215,78844874;2676408,93072725;4240290,10826669;3705325,45418379;4817978,56967089;4396244,56967089;0,139725270854756;40901,1746218049
"1760";25;6;1;1;1;2;8;1;1;2;2;1;1;1;1;1;2;2;;2;2;1;2;2;2;1;1;1;2;;;;;;;;;2;;;;;;;;;4;1;4;2;1;2;1;1;99;1;2;1;2;1;2;2;1;2;2;4;2;1;2;2;21140652,1606768;9055325,84168844;33265012,4017524;24249559,3107258;19354878,1531474;21753139;22534967;1,56531798090865;370671,214330933
"1761";33;5;2;1;1;1;6;2;2;1;1;1;1;2;2;1;3;2;;2;97;1;2;2;2;2;1;1;2;;;;;;;;;1;2;1;1;2;1;1;2;1;97;1;2;3;2;2;2;2;1;2;2;2;;2;;3;1;2;2;4;3;2;3;3;34583982,1353621;14391721,5930094;35613911,6497741;29216484,3462274;28518806,3404994;27776402,6627414;22446263,6627414;13,2959325005407;822782,839410049
"1762";33;7;1;1;1;1;7;2;1;1;2;2;1;1;1;1;3;1;1;2;1;3;2;2;2;1;1;1;2;;;;;;;;;1;2;1;1;2;1;1;1;1;97;2;3;1;;2;2;2;1;2;1;1;2;1;2;3;1;3;2;1;3;2;2;2;37700043,5273793;13151339,3001183;35613911,6497741;29216484,3462274;28518806,3404994;21037094;22793826;0,664796625027034;38564,5207652443
"1763";22;3;1;1;1;2;3;97;1;1;97;2;1;2;1;1;2;2;;3;3;1;2;2;2;1;1;1;2;;;;;;;;;1;1;1;2;1;2;1;2;2;4;1;3;3;1;1;;1;99;2;2;1;3;1;4;2;2;1;2;4;1;2;3;3;21140652,1606768;12798371,8641061;33265012,4017524;13313571,0102565;14173695,4240263;13804878,7427588;11847497,7427588;0,738425238851739;266904,708359747
"1764";43;1;1;1;1;1;6;1;2;2;1;1;1;2;2;3;2;2;;1;2;2;2;2;2;2;1;1;2;;;;;;;;;2;;;;;;;;;4;2;1;3;2;2;1;2;2;1;2;2;;2;;4;1;1;1;4;2;2;3;3;12325579,2015022;6307517,21487577;17777162,4460155;11421778,5725272;10776775,1826395;8208242,03327921;6535131,03327921;7,10930506044047;658543,74296205
"1765";52;1;2;1;1;2;3;97;2;97;2;2;1;1;1;1;3;2;;2;3;1;2;2;1;1;1;1;2;;;;;;;;;1;1;1;2;2;2;2;2;2;4;2;1;3;1;1;;1;2;2;2;1;99;1;99;5;2;3;1;4;1;1;3;1;6571044,69845248;2435637,36092034;4584091,49430122;3872447,6527475;3993568,58119647;4825485,6623448;5331708;0,850986139664242;91742,2904483774
"1766";35;1;1;1;1;2;7;1;2;2;2;2;1;2;1;1;1;2;;97;2;3;2;2;2;1;1;1;1;97;97;97;97;97;1;3;1;1;2;2;2;2;2;2;2;2;97;2;3;3;1;2;2;1;99;2;2;1;99;1;99;3;2;5;2;4;3;3;3;3;37700043,5273793;15263335,4060724;35613911,6497741;24365402,5988148;29162640,6835377;27776402,6627414;22446263,6627414;1,1575493817962;75222,6113815228
"1767";27;2;1;1;1;1;3;2;2;1;2;2;1;1;1;1;2;2;;3;3;1;2;2;2;2;1;1;2;;;;;;;;;1;2;2;2;2;2;1;1;1;1;1;3;3;1;2;1;1;1;2;1;1;2;1;2;2;2;2;2;4;2;2;2;2;21140652,1606768;9055325,84168844;33265012,4017524;13313571,0102565;14173695,4240263;21753139;22534967;0,081006810558095;8037,56628124633
"1768";53;4;1;1;1;1;2;2;2;1;1;2;1;2;2;2;3;2;;2;2;3;2;2;1;1;1;1;1;1;3;1;2;3;2;1;2;1;1;1;1;1;1;1;1;1;2;1;3;4;1;1;;1;1;1;1;1;1;1;1;5;3;2;2;4;1;3;1;1;6308440,96389232;2774096,33588219;8295394,16804358;3367449,33243866;5235416,80864652;4727672;5331708;0,259730122935213;15228,7000436686
